"StationName,CliftonHS_Jace3"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C2B,C217,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C307,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C309,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C311,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C313,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C315,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3A,C317,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C306,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C308,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C310,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C312,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C314,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C316,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C3B,C318,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S108,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S109,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S109_S111,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S111,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S113,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S115,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1A,S113_S115,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1B,S110,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1B,S112,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1B,S116A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S1B,S116,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2A,S208,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2A,S210,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2A,S212,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2A,S214,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2A,S216,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S207,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S209,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S211,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S213,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S215,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S2B,S217,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S306,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S308,bacnet:BacnetPointFolder,N/A,"
